,airline_sentiment,sentiment_confidence,text,char_length,word_count
5980,positive,1.0,  love sw forever,51,5
5981,negative,1.0, please hire an efficiency consultant to manage your phx baggage checkin way to many open kiosks with s of ppl waiting,136,22
5982,neutral,1.0, question all  when will i receive my yearly bonus point accumulation? i think its around now but not sure  thanks! ,134,22
5983,neutral,0.6424,  im flying on one right this minute,67,9
5984,positive,1.0, sw rocks thanks for the reply and the follow rebooked earlier flight!,85,13
5985,positive,1.0,  congrats!,40,3
5986,positive,1.0,  well deserved!,45,4
5987,neutral,0.6313, please please please choose me to go see    #destinationdragons,92,11
5988,positive,1.0,  i always tell everyone to fly southwest! congratulations!!!,90,10
5989,positive,1.0,  friendliest employees,52,4
5990,neutral,0.6105, i got a phishing email claiming to be from southwest i can forward to you if youd like to investigate,118,21
5991,neutral,0.663, unfortunately no its my lack of status thats the big problem my company policy forces me to buy the cheapest tickets,134,22
5992,negative,1.0, every flight flown by me personallyabout two round trips per month is full still hard to believe fly  hours thru atl?no,138,23
5993,positive,0.6714,  superb choice  swa i am a raving fan they even take stress out of weatherrelate flightd glitches!  #custexp,142,21
5994,neutral,0.6819, has  employees on social care team  staff the listening ctr at any timerest of spots filled by other areas #ragandisney,140,23
5995,positive,0.6437, listening center is open seating just like on their planes #ragandisney,86,12
5996,negative,0.664,  double up with this comment phl to anywhere south florida is gone gone gone hello us air,116,19
5997,negative,1.0,  i dont like the new schedule no more nonstops from phl to fll or pbi? we are not free to move between those cities sad,138,27
5998,negative,1.0, incredibly frustrating i emailed but still havent received a response,86,11
5999,negative,1.0, i paid for inflight wifi only for it not to work download speed was mbps  i ended up watching the free tv instead,138,25
6000,neutral,1.0, sure can! just a second,38,6
6001,positive,1.0, oh my god thank you so much!!! i just sent you a dm,65,14
6002,negative,1.0, i wish i wouldve known so i couldve slept  hours more and let my friend know not to wait for me after she lands,131,26
6003,positive,0.6596, thank you for the prompt response i will email late flightr today,81,13
6004,positive,1.0,thanks to   i get to go to the #destinationdragons  show this weekend in utah   !!! #thankyou,133,20
6005,neutral,0.6684,  congratulations!,47,3
6006,neutral,0.6368, for my grandma ellas th she would love a bday greeting from your flight crew! she was a stewardess for eastern airlines,138,23
6007,neutral,1.0, is there any chance i could get tickets to the #destinationdragons show in vegas? ive been a huge fan for years! pretty please,140,24
6008,positive,1.0,  love u southwest youve always been helpful when i traveled a lot wmy son infanttoddler u were great!,138,20
6009,positive,1.0,  love flying southwest! best flight attendants ever!,82,9
6010,negative,1.0, nothing express about your express bag drop at phoenix sky harbor,79,12
6011,neutral,0.6974, is it possible to book a refundable trip? willing to pay extra this would be for a domestic round trip flight,124,22
6012,negative,0.6998, used to exclusively fly sw but late flightly direct flights  cheaper costs have me switched  whyso fewdirectflights?,151,20
6013,neutral,0.6448, would you be willing to help me surprise my bestfriend with tickets to go see ? #destinationdragons gracias!,137,19
6014,neutral,1.0, mac computer left on bwi to la flight on th  reward for recovery info important to owner#help #passengers #honesty,133,20
6015,positive,1.0,  i do like your airlines congrats!  ,69,10
6016,positive,0.644, hi guys good morning how are you doing,52,9
6017,negative,1.0, is there an email address i can send some thoughts to? this experience was really not good  i have some feedback,132,23
6018,positive,1.0, southwest is definitely my favorite airline to fly! d,68,10
6019,positive,1.0, congratulations!,30,2
6020,negative,1.0, great my flight is delayed three hours now my friend has to wait for me at the airport for hours on her birthday ,132,25
6021,positive,0.6774, guess where ashley is shes doing a great job presenting #ragandisney ,108,13
6022,neutral,1.0, using social business roadmap to develop intelligent path to embed social across enterprise #ragandisney,118,15
6023,neutral,1.0, adds new direct flights from #columbus to oakland  boston starting august  #cmh #oak #bos,112,17
6024,neutral,1.0, is there anyway to pay more to get priority boarding a ?,74,13
6025,negative,0.6366,  birthday is the th and hes not seeing imagine dragons at #destinationdragons ?,109,15
6026,positive,1.0, thank you for integrating with passbook on ios it all works so much better now!!!,96,16
6027,negative,0.3456, is my friend lucky enough to see #destinationdragons live on his birthday? hes been a fan for years ,128,20
6028,neutral,0.6824, ive been a fan of imagine dragons since  and theyre my fave band and #destinationdragons is during my bday can i get tix,140,25
6029,neutral,0.6566, whats up with flight  ft myers to milwaukee???,64,10
6030,neutral,1.0, my birthday is during #destinationdragons could i get tix?? ,96,11
6031,neutral,0.7039, please bring back rdu to fll direct route!  i noticed it is missing starting in late flight august!  the flights are always packed!,145,24
6032,negative,0.6788, when you enter every contest for #destinationdragons and lose ,78,11
6033,negative,1.0, is main supporter of play where jesus is portrayed as homosexual partner of judas and who performs a gay wedding #boycott,137,22
6034,neutral,0.6804, hi do you know why wn is already delayed until pm tonight? thanks !,89,15
6035,negative,1.0, youre giving everyone tix for #destinationdragons except for me and its during my birthday!!!!,110,15
6036,positive,0.6686, my birthday is during #destinationdragons and im a huge fan anyway i can get tickets?,100,16
6037,positive,1.0,  thanks to the agent boarding  atlaus left my wallet on the inbound he found it for me!,110,20
6038,negative,0.6531, i sent you my conf number yesterday,50,8
6039,positive,1.0, iphone app now has passbook support! whoot! its the little things in life ,93,15
6040,neutral,0.6803, thanks! will do,29,4
6041,neutral,0.6419, if you read my tweet it is a gap in process for folks that take multiple flights in one day,106,21
6042,neutral,1.0,  do you know where my plane is coming from?  im on sw flight  from rsw to mke,96,19
6043,negative,1.0, well it was fun while it lasted not happy about the change to redeeming reward points wont be loyal anymore,126,21
6044,negative,1.0, why the delay on flight  bdl to mco? need to get to florida for the  races in daytona,109,21
6045,positive,1.0, aww thanks!! other than that love it!,52,8
6046,negative,0.7, learn how to give folks on multiple flights the same day boarding position at least if you cant give them  boarding passes,138,23
6047,positive,0.7005, were here at mco thanks,40,6
6048,neutral,1.0, schedule is open through the end of october got columbus day wknd in new england for k points for ! check your calendar!,139,24
6049,positive,1.0, the new logo is going to look amazing on the airplanes,68,12
6050,neutral,0.6703, i am now a rapids rewards member #lovetotravel #chaching,70,10
6051,neutral,0.6641, okay just signed up!,34,5
6052,neutral,0.657, whens the next deal going to happen a poor college student is trying to fly to orlando instead of drive in august! lol,133,24
6053,positive,1.0,i appreciate the reply rt   were so sorry to keep you waiting laura an agent will be with you shortlycb,134,22
6054,neutral,0.6508, booked our flights this morning cant wait to move about the country,84,13
6055,positive,1.0, i love you guys! had to take a few other airlines this weekmakes me love and appreciate yall so much more! #onlywaytofly,138,23
6056,negative,1.0, im getting leathery from the heat on  before i even get to vegas,87,15
6057,negative,1.0, my first flight ever and flight # is already having technical issues faaaannntastic,104,14
6058,neutral,0.6638, trying to get to mexico in september! how about affordable nonstop flights????,92,13
6059,negative,0.6837, how it feels on flight  ,64,8
6060,neutral,0.6832, i think me and my group could use some nice cold drinks once we get in the airwe are all over  ,116,24
6061,negative,1.0, stuck on  with the heat blasting to try and thaw the water lines kinda disappointed for my first flight as a rr member,140,25
6062,negative,1.0, love how friendly your staff is when asking for updates on delayed flights causing missed connections #horribleattitudes,137,18
6063,positive,1.0, dm sent! thanks so much for responding! your response was so timely i missed it!,95,16
6064,negative,1.0, hates guitar players chgd for oversize and extra bag on my acoustic guitar epic fail,101,16
6065,neutral,0.6601, are passengers automatically rebooked on other flights if original is cancelled flighted for weather etc?,119,16
6066,positive,1.0, thank you for having flights going out of nashville! you guys rock! #disneyprincesshalfmarathon #girlsweekend #bffs,129,16
6067,negative,0.6701, flt  san jose ca  denver co delayed  hrs but easily best flight  touchdown in all my years flying keep it up!,137,26
6068,positive,1.0, thx ops agt rich westagard n flight att nancy  den airportheld flight  n even saved seat  bus select #customersfirst!,139,23
6069,positive,0.3394, yall the real mvp with these prices,53,8
6070,neutral,0.732, ugh kicking myself for missing out on #destinationdragons i need some  back in my life  ,140,18
6071,neutral,0.6739, is there any chance i can get tickets for the vegas stop? i missed my chance to enter the contest but i love id to death !,136,28
6072,neutral,0.3516, any chance the flight i just took can count for #? i mean i signed up with sw wifi in the air! ,114,24
6073,neutral,0.6577, so i saw the promo for alist when i was on a plane this monday i fly two more times in the qualification period ,132,26
6074,neutral,0.3624, hilarious flight attendants on vegas to detroit tonight ,92,10
6075,negative,1.0, i spoke to soon my bag was lost ,53,10
6076,neutral,0.6736,  about time! #mobileboarding is a must!,65,8
6077,positive,1.0, love bridesmaid dancing cant wait for you to fly into puerto vallarta and kick united ass!,105,17
6078,neutral,0.6584,  it takes  hours to fly from chicago to beijing on united and  to fly from vegas to omaha on sw,136,24
6079,positive,1.0, i  you! the only airline that understands us military families and our unpredictable changes pound it ,120,19
6080,positive,0.6634, can i get tiks for #destinationdragons omg id love to! plz im dying,84,14
6081,negative,1.0, humor aside weve been stuck on the plane for two hours at the gate because bags cant be loaded correctly what gives?,134,23
6082,negative,1.0, weve been sitting at the gate for two hours waiting for bags to be loaded im telling herb,109,19
6083,neutral,1.0, my pr class would luv to know whos in charge of your twitter how many people write your tweets? #gracias,120,21
6084,neutral,1.0, if you are giving tix to #destinationdragons show would appreciate one or two for laflying from phl to lax on friday,131,22
6085,neutral,0.7218, any chance i can get tix for  ? i have been tweeting since january  about it #destinationdragons,138,20
6086,neutral,1.0, only  guest needs to change a flight on a reservation of  how can i do it? i need this to happen say it canplease help!,140,28
6087,neutral,0.6479, inflight entertainment  tonight a willie nelson impersonator sang for the passengers #peanutsandtoons ,139,14
6088,negative,1.0, had a very rude gate agent at bwi tonight gate b after a hr delay for flight  i think a little training is in order,139,27
6089,positive,1.0,looking forward to using passbook when i fly   in a few weeks!,75,13
6090,neutral,0.6559, heard you are saving k a year on fuel not carrying around those skymalls #ripskymall,101,16
6091,neutral,0.6738, if a passngr requires wheelchair to gt on plane then sits in an exit row wld they b physically capable to help in emergency?,139,25
6092,neutral,0.3466, so there were  earlybird checkins because i was told there were no flythroughs? good flight otherwise ,124,19
6093,positive,1.0, fantastic! thank you!,35,4
6094,negative,0.702, sat on a plane for  hrs on ! then we finally took off ,78,16
6095,positive,1.0,  great flight from phoenix to dallas tonight!great service and on time! makes  very happy! ,140,18
6096,negative,1.0, flight cancelled flighted tonight and was told i wont receive a travel voucher for the inconvenience is that really your policy?,144,22
6097,positive,1.0, you guys are so clever  ,61,8
6098,negative,0.6919, i fly swa a lot  always purchase eb and never past a rethinking the swa process  very misleading,118,20
6099,positive,1.0, amazing view on the approach to lax tonight ,81,10
6100,negative,1.0, today you sporadically changed my flight departure  times  left two hours late flight uncharacteristic of u ,151,20
6101,positive,1.0, i really appreciate you alls #bhm commercial that aired today during s #bookofnegroes,106,14
6102,neutral,1.0, do new flights come out at midnight?,50,8
6103,neutral,0.6518, looks like on february   we will open our schedule for sale through october    know what time that will be?,139,25
6104,negative,1.0, yes  with extra  i wonder what are you going yo loose if there is room,91,18
6105,neutral,0.6809, do you have all winners for  #destinationdragons,77,9
6106,negative,0.6591, have a flight from oakland to sna at  and i asked if i can take  even there are  empty sests answer is no ,137,28
6107,neutral,0.6558, i had to travel to savannah ga once again on an airline i dont luv when r u going to fly me to savannah? pleeeease!!!!,139,26
6108,negative,0.7033, could care more about their customer if there is a reasonable request ,87,14
6109,neutral,1.0, so i am flying chicagolaxphx just to go spotting at lax and phx airports then i am flying back to chicago ,125,23
6110,positive,1.0, thanks for replying i sent my conf #! i love aviation and southwest and all i wanted for my th was to fly swa for the day!,140,28
6111,negative,1.0, i am going to stop flying with you  delays everytime  this time due to paperwork?,97,16
6112,negative,0.3804, thnx hopefully its just on the nxt flight up ive got  shows this wknd worst case ill just turn my sweatshirt inside out,140,25
6113,positive,1.0, thanks for taking it up a notch!! leinenkugels #craftbeer #goodflight  norfolk ,117,14
6114,neutral,1.0, i cant look up my confirmation number at the moment on mobile the email is no longer in my inbox,111,21
6115,negative,1.0, i receive bad customer service and ended up spending several hundred dollars to accommodate my family during each cxl flight,138,21
6116,positive,1.0, thank u for not leaving me  nice job running thru the airport to catch your connecting flight,112,19
6117,negative,1.0, it keeps saying that mobile boarding passes are unavailable despite having checked in and everything,114,16
6118,positive,1.0, thanks so much for making my night  cannot wait for my trip next week! ,108,17
6119,negative,1.0, your app isnt working and i take off in like two hours help,73,14
6120,negative,0.6426, why cant you take me to knoxville?? yall are my fav #help,72,13
6121,neutral,1.0,  any info on #destinationdragons ?? me   need to know,101,13
6122,positive,0.7065, filing it now thank you for your response,57,9
6123,neutral,1.0, #destinationdragons any word on winners of contest? any chance for tix for the provo destinationdragons show? fingers crossed!,140,19
6124,neutral,0.6879, i will be writing in about the service via email my company also transports well over  clients monthly via sw,128,22
6125,positive,0.7, one heck of an airline ,59,7
6126,neutral,0.6489, thanks!!!   it is good to air on the side of caution,68,13
6127,negative,1.0, i understand weather is not your fault but as a frequent flyer i expected better customer service ill be trying ,135,22
6128,neutral,0.6651, yay! and are dependents with id wife children eligible to use this discount too? how do you use it over the phoneinperson?,139,23
6129,negative,0.697, my flight was  leaving las vegas at pm arriving at chimid at  pm,94,16
6130,positive,0.649, woohoo that just made my day i looked and just couldnt find that thank you!,92,16
6131,negative,1.0, doesnt even have gluten free peanuts whyyy me??,63,9
6132,neutral,1.0, when will dates to fly go past august  ?,59,11
6133,positive,1.0, just had a great flight # with damion! he was the best #damionflight,90,14
6134,negative,0.6582, please update your website,40,5
6135,neutral,0.6733,yo!    give  their plane back  theyre mad  threatening to take away my companion pass #luv,136,19
6136,negative,0.6541,    this is everything now return that jet so we can go to miami!,116,17
6137,negative,0.663, where was the inclement weather? other flights left dca today and this plane appeared to be coming from aus,122,20
6138,positive,1.0, whoa thanks and thats what i wanted to hear! early flight coming up thanks for the reply,106,18
6139,neutral,1.0, working on a piece about military discounts and am hearing you offer one can you give me specifics and confirm? thank you!,137,23
6140,neutral,0.6885,   did they pick someone for destination dragons?,77,9
6141,neutral,1.0, do you anticipate any cancelled flightlations for flights out of nashville tomorrow? thank you!,109,15
6142,positive,1.0, thx  fingers crossed they are found,51,8
6143,neutral,1.0, do you have any info about when #destinationdragons winners will be announced? me  my best friend are hoping to win thanks!,143,23
6144,positive,1.0, so far so good! ,52,6
6145,neutral,0.6863, just dmed you guys!!! ,40,6
6146,negative,0.6596,  i was all yeah sale fares! i got places to fly! oh damn right i live where swa doesnt fly #why,127,23
6147,positive,0.697,   id love to hear them live at   this saturday! #destinationdragons,130,15
6148,positive,1.0, thats why i fly yall that personalized service,63,9
6149,neutral,0.6868, k but who won destination dragons,47,7
6150,positive,0.6867,   well timed tweet just boarded and will be listening on my way home!,110,16
6151,negative,1.0, it took ages for one snapchat story to load one one i will demolish you,88,16
6152,neutral,1.0, i dunno my travel information like what?,56,8
6153,negative,0.6771, lost my sunglasses  case on a flight  last night  is there a lost  found?,102,19
6154,neutral,0.6413, snapchat imessage instagram,49,4
6155,negative,1.0, your wifi is shit fix that up before i jump out of the closest bloody fucking emergency exit,108,19
6156,negative,1.0, we need help changing a name on a company reservationwe tried calling customer relations but there is a busy signal,134,21
6157,negative,0.709, alas it was pretty full so we had to entertain ourselves with witty repartee ,95,16
6158,neutral,1.0, will do! #heart #flying,37,5
6159,negative,0.7039, i am trying to book another flight and apply my credits that i had from another flight but i cant find them,123,23
6160,negative,1.0, so frustrated with my experience with #southwest  hours trapped in denver bc of mechanical problems #worstcustomerservice,139,18
6161,positive,1.0, awesome thank you!,33,4
6162,negative,1.0, weve now lost a whole day of our honeymoon very disappointed and frustrated with everything,110,16
6163,negative,0.6769, we have to stay in chicago overnight and meet up with our bags there i hope they stay put and dont get put on a flight,135,27
6164,positive,0.6374, luckily the people working the bso at chicago midway have been very attentive and found our bags in punta cana,126,21
6165,negative,0.6374, are bicycles that the  lbs criteria free or bikes are automatically each way? the faq page isnt very clear to me,138,23
6166,neutral,0.6635, is there a way to dm you?,39,8
6167,negative,1.0, was wondering is there a reason why customer service is so busy? been on hold past few days for many hours no answer help plz,139,26
6168,negative,1.0, open more kiosks at austinbergstrom three lanes to service a line of  people? really?,105,16
6169,positive,0.6667,  pit gate a! big shout out to the lady trying to track him down!,81,16
6170,positive,1.0,  i just had a great experience with your customer service team thank you! #luvsw alist,103,17
6171,positive,1.0, is there a way to know who checked my bag on the curb? she was awesome!!! and want to be sure she gets a high five!,129,27
6172,neutral,1.0, yall still fly in the cold right?,47,8
6173,negative,0.6848, pls help me get this resolved  reimbursement made  gracias rico pls send me private msg with phone number or email address,144,23
6174,negative,1.0, alist preferred line phone wait was  minutes i hung up not feeling alistey!,96,15
6175,negative,0.6303, how do i stop getting credit card apps? i already have a card!,76,14
6176,positive,1.0, thank you for handling this for me glad southwest cares about what its flyers think!,100,16
6177,positive,1.0,bingo!  thank you for bringing this to our attention well be happy to reach out to noah so we can make this right mr,136,25
6178,neutral,1.0, oops sorry done,32,4
6179,neutral,0.6771, how come on mobile i cant proceed wo entering a postcode at purchase im from ireland and i dont have a postcode just,136,24
6180,negative,0.6463, tsa pre isnt showing up on my boarding passes and ive followed all of the steps please help,109,19
6181,neutral,0.6545, i would but you need to follow me first ,57,11
6182,neutral,1.0, im not sure i did the messaging part right please let me know if you received it,97,18
6183,positive,1.0, loveluv the addition of the passbook option,60,8
6184,positive,1.0, thanks for the follow up so glad to get my bag back,67,13
6185,neutral,1.0, denver to phoenix i think were finally getting ready to take off,81,13
6186,neutral,0.6883, is your companion pass broken today? purchaseerrorinvalidloyaltymemberaccountstatus swvyilxklrogfsja,139,9
6187,negative,0.6564, if you guys fuck this up again  i will never forgive you,70,13
6188,negative,0.6679, im smashed into a window by the giant guest sitting next to me # no way this guy should have been given  seat,132,25
6189,negative,1.0, im miserable on your orlando to vegas nonstop right now how big must a guest be for u to require  seats?  im in a btw,137,27
6190,positive,1.0, amazing service by your sw stewardesses! from den to cun and from cun to atl and atl to lax thank u!,115,22
6191,neutral,1.0, #ftw!  hope theyll sing us a song on our flight to phoenix today  terminal  humphrey ,132,20
6192,neutral,1.0, did you pick the winners for the #destinationdragons ?? #yearslate flightr #maybeijustlost #whyyounoloveme,122,14
6193,positive,0.6632,  lol im sorry im just seeing this now but lauren oh my god ahhhh,94,16
6194,negative,0.6731, bad weather and multiple cancelled flighted flights has us all scared!  noted for next time,106,16
6195,negative,0.6606, good to know now!  three sets of travelers in just  mins standing here waiting for mins to pass by,115,21
6196,positive,1.0, once or twice a year hard to get vacation time from work sometimes but love flying with you guys!,113,20
6197,positive,1.0, just gave me tickets to see   at  on saturday i cant even right now haha thank you!!!!,129,20
6198,negative,1.0, doesnt want to deal with me but the world might want to know how they are treating their customers ,138,21
6199,negative,1.0, so i guess you can get to the airport too early!  need to wait mins to checkin really?,103,19
6200,positive,0.6669,  we share that value in common ,61,9
6201,neutral,1.0, is the  bonus at flowers still on or did it expire ?,82,14
6202,positive,0.6646,  ok we will! thank you!!!,49,7
6203,neutral,0.6399, fkqw is the conf # thanks for the reply,55,10
6204,neutral,1.0, times change i guess ,59,6
6205,negative,1.0, #worstthingever days late flightr our lost bag was fedexed somewhere do you know where cause we dont  it was delivered somewhere,150,23
6206,neutral,1.0, app updated with #passbook support  via ,86,9
6207,negative,0.6939, how do i know that my information is not found on other peoples account?  i can see someone elses reservation rr # and trip,140,25
6208,negative,0.6631, i dont have a conference number  i spoke with courtney in texas and david before that they finally fixed mine after an hour,140,24
6209,neutral,1.0, any possible chance of swa bringing back service between lgabwi? it would make it much easier to connect to the west coast,138,23
6210,neutral,0.6703, please expedite missing bag claim # thanks!,68,8
6211,neutral,1.0, is there anything i can do to get tickets for  at ? it would mean so much to me #destinationdragons,139,22
6212,neutral,0.7033, when does the new schedule open that takes us past ?,71,12
6213,negative,0.6667, customer service said it was a known problem that they were using same confirmation numbers for domestic and international,136,20
6214,negative,0.699, looks like my  yr anni trip has been replaced w someones itinerary worried abt who can c my flight ,138,22
6215,neutral,0.6735, go south everyone,31,4
6216,negative,1.0, why would i want to when the last time i did you screwed me out of my early boarding that i paid for,116,24
6217,positive,1.0, thanks for the follow up  i appreciate it,57,9
6218,positive,1.0, arrived in san juan early thanks for a great flight luv u!,75,13
6219,negative,1.0, #jamesasworth has the worst corporate account manager # brent i will now take my plus flights to  thank you,132,21
6220,neutral,1.0, just sent you a dm w additonal info,50,9
6221,negative,1.0, a complete horror show flights bumped three times today before noon not how to run an airline #cantblametheweather,134,19
6222,neutral,0.6621, can i please go see  on friday? i promise ill only fly southwest when going back home to nh #mhtforlife,133,22
6223,neutral,0.6889, so important to accept others for who they are #swadiversity,76,11
6224,negative,1.0, hour delay  shortly?  brendan we are so sorry to keep you waiting well have you in the air shortly!rs,140,22
6225,neutral,1.0, are you announcing any more winners to the #destinationdragons   show  in utah this weekend? #lucky,139,18
6226,positive,0.6611, thanks already subscribe and have a rr account had received a promo code last month but has since expired any new offers?,138,23
6227,positive,1.0, thank you kindly,31,4
6228,negative,1.0, step  be less shot step  acknowledge customers other places than twitter step  dont suck so much,119,20
6229,neutral,0.6736, so when do we find out who won the imagine dragons contest?,73,13
6230,positive,1.0, great job celebrating #mardigras   you own the industry  another reason im nuts for you! ,132,18
6231,neutral,0.6821, thank you,24,3
6232,neutral,1.0, planning a family trip to orlando in may and trying to figure out when to book to get the best rate any suggestions?,131,24
6233,neutral,1.0, lemme come to #destinationdragons  this university student could use a break from all these books,115,17
6234,negative,1.0, im sorry for straying and going with  ive learned my lesson these attendants need some sw happiness!,129,19
6235,neutral,1.0, i will not have my passport in time for my trip could i still fly with photo id? #thingsishouldknow #ifeeldumb,125,21
6236,positive,0.6421, just added #passbook support to their ios application! finally i get to add them to my collection ,136,19
6237,neutral,1.0, how can i get tickets for feb  imagine dragons show?,68,12
6238,positive,1.0, im really craving your pretzels please send me some,68,10
6239,positive,1.0, allows you to change a flight once for no fee yay! i will always book flights with them  changes you ,133,23
6240,neutral,0.6484, give me tickets to the atlanta show and ill roadtrip from canada!! deal? ,89,15
6241,negative,1.0, its the poor customer service that i have a problem with!!!!!,76,12
6242,negative,0.666, it was this one but looks like the problem is now fixed ,94,14
6243,neutral,1.0, sureill send a message now!,43,6
6244,positive,0.6581,#swadiversity we are ready to be inspired! ,78,8
6245,neutral,1.0, sent,18,2
6246,negative,1.0,  days  still not home not even off the ground  days #pastmypatienceexpirationdate,107,15
6247,neutral,1.0,  revenue flights since the beginning of ?,61,9
6248,negative,0.6667, understand you can only do so much but often it seems like a quick request to the desk is all it takes no questions asked,136,26
6249,neutral,1.0, looking forward to out power of inclusion event with very special guests! we will begin promptly at  am #swadiversity,138,21
6250,negative,0.6694, tried to enter that rapid rewards contest link on facebook but all my browsers kept popping up security warnings  it,132,22
6251,negative,1.0, just ohing a text message i received from an entitled jackass of a friend,89,15
6252,positive,0.7072,  hmmm how does the caribbean sound?  ld warm thanks!,110,12
6253,neutral,0.6845, i have a flight to vegas coming up soon but havent received any drink tickets late flightly can you help me out?,129,23
6254,neutral,1.0,  can you follow back for a quick dm? swfollowed,79,11
6255,neutral,0.3353, all flights lead to vegas baby!,45,7
6256,positive,0.68,  apology accepted! #customerservicewin #itravelalot ,89,7
6257,negative,0.6939, how does your pre boarding process work? basically anyone who doesnt want to wait their turn can get a slip?,123,21
6258,positive,1.0, love your tv ad with the girl dancing makes me laugh every time and now i want to take a trip! ,114,23
6259,negative,0.6558, its oki forgive you guys,43,6
6260,negative,1.0, now its delayed until  getting yelled at by attendants not to bother them getting worse,108,17
6261,negative,0.6319, southwest is scheduled to fly to costa rica on march  but i cant book it online when will this be available?,125,23
6262,positive,1.0, yes! i did and the bags came straight to my hotel thank you you guys rock!,92,17
6263,neutral,1.0,  southwest is currently awaiting government approval for this route do we know when it will be official?,119,18
6264,neutral,1.0, is offering #companionpasses to atlanta residing frequent fliers! ,102,10
6265,positive,1.0, thank you!!!,26,3
6266,positive,0.6955,  oh my gosh,39,5
6267,negative,1.0, service rep didnt say i was dumb just had the tone of voice like i should have known about it,109,21
6268,negative,1.0, it would be nice if i could talk to an agent rather than get caught up w a promotion  then be hung up on,124,26
6269,negative,1.0, i just wanted southwest to know that i dont think theyre as great as i used to anymore nothing to look into,125,23
6270,positive,0.35,  lauren im screaming,48,5
6271,positive,1.0,  lauren omg im dead im so so happy for you yes yes,78,14
6272,positive,1.0, youre the best,29,4
6273,negative,1.0, customer relations line had busy signal too called the normal line and the service rep thought i was dumb for not knowing,137,23
6274,neutral,0.6889, ive never met my favorite band and it would be sooo amazing to win destination dragons,102,17
6275,positive,1.0,  lauren omg best airline ever,57,7
6276,negative,1.0, didnt see travel had to be compete for unused funds by expiration date hidden in the fine print never saw that before,134,23
6277,neutral,1.0,  ahhhh yes lauren,45,5
6278,positive,0.3543,  holy fuckinf shit,46,5
6279,positive,0.6986,  oh my god lauren oh my god oh my god,65,12
6280,neutral,1.0, my birthday is february th which is the date of the imagine dragons in flight concert btw,105,18
6281,neutral,0.6831,  lauren holy sht,44,5
6282,positive,1.0, thank you thank you thank you,43,7
6283,negative,0.6476, after a long wait of over an hour my mothers bag did not make it we filed a report and are waiting thanks for your help,136,27
6284,neutral,1.0,  goes to court to gain access to  gates at love field   #deltanews,108,15
6285,neutral,0.6354,  lauren im screakjmf,48,5
6286,negative,1.0, when will sw return to customer service?  business travelers made sw now sw ignores us,101,16
6287,neutral,1.0, are you guys gonna be giving away any tickets for  at ? #destinationdragons,115,15
6288,neutral,0.663,  swa is willing to follow up finally,62,9
6289,neutral,1.0, is hiring for their emerging leader development program last day to apply is today! apply here ,133,18
6290,neutral,1.0, when does pv get approved? i am ready to go!!,59,11
6291,neutral,1.0, # atl to rdu snow forecasted for raleigh this evening,73,11
6292,negative,1.0, your app repeatedly crashed and failed to display my name when checking in was unable to use app ,135,20
6293,neutral,1.0, sorry! thought i did its done now,50,8
6294,negative,0.6535, no i have not,28,5
6295,negative,0.3695, yea but i was hoping to avoid the ticket difference amount as a birthday courtesy? #flysouthwest #lovesouthwest #mybday,133,19
6296,negative,0.6404, can   i use your luggage scale to measure our weight loss? one scale for each foot  home is not accurate anymore,144,25
6297,positive,1.0, oh my gosh seriously?! you just made my day week year!!! no one will appreciate this more than me!!!,116,20
6298,negative,1.0, boarded plane only to be told to get off as it wasnt our plane now an hour delay ,100,20
6299,neutral,0.6795, when are you opening the flights beyond august th???,67,10
6300,positive,1.0, pleasantly surprised to be boarding my flight on time this morning at  good job!,109,16
6301,neutral,1.0, ahhhh! sorry just followed,42,5
6302,negative,1.0, two hours on the plane at the gate?!? this is undignified behavior for you and the apology isnt enough #freedrinkcoupons,137,21
6303,negative,1.0, she cut people off  minutes before flight time to check in bags for a flight that was delayed  hours! i waited  more hrs!,140,27
6304,negative,0.6739, i want to file a formal complaint against a disgruntled employee  laguardia who ruined mltple peoples travel plans yesterday,140,21
6305,positive,1.0, awesome!!! sending now,37,4
6306,neutral,1.0, i left something on a plane landing at midway last night because i am a responsible adult  got a number for me to call? ty!,139,27
6307,negative,1.0, hi! just got my tsa precheck #  put it in my acct but its not on my boarding pass for a flight this pmcan it be updated?,144,29
6308,negative,0.6667, why do your mdw gates have so many fewer seats than your planes?,78,14
6309,negative,1.0, really?!?  hours on the plane and at the gate??? jaxbna like we havent waited days to get home #notokay,123,21
6310,positive,0.6573, thank you!,24,3
6311,negative,0.6701, there is no option just to cancelled flight? i dont want to change flight i want to cancelled flight,117,20
6312,positive,1.0, thank you for your time!,38,6
6313,negative,1.0, lastly for a company thats trying to put the love in flying it would be nice to have someone personally address my concerns,140,24
6314,neutral,1.0, in my letters to follow i will be sure to include my rewards number twitter handle and email address,118,20
6315,negative,0.6481, flight  to balt hit turbulence babies cried kids vomited chaos flight attendant caroline was a superhero,127,18
6316,negative,0.6703, by the way the flight number was  please feel free to fact check my complaints about leave time  baggage time,134,23
6317,neutral,0.6742, finally got me home #bnasnow,42,6
6318,negative,1.0, therefore since ive received no recourse through phone i have submitted an email complaint  a letter via mail will follow,143,22
6319,negative,1.0, i consider myself a loyal customer to the brand but im astounded at the lack of concern about customers flying experiences,139,22
6320,negative,1.0, this experience was the worse flying experience ive ever had to be met w contempt from your customer service makes it worse,140,23
